label,youtube_link,time_start,time_end,name
bench pressing,https://www.youtube.com/watch?v=-Dffz-3yZgw,22,32,benchpressing-Dffz-3yZgw
bench pressing,https://www.youtube.com/watch?v=-NAi85LLBoc,19,29,benchpressing-NAi85LLBoc
bench pressing,https://www.youtube.com/watch?v=-O8RW7Bf2n0,2,12,benchpressing-O8RW7Bf2n0
push up,https://www.youtube.com/watch?v=-EicsYK0lxY,3,13,pushup-EicsYK0lxY
push up,https://www.youtube.com/watch?v=-JeVEX20-U0,51,61,pushup-JeVEX20-U0
push up,https://www.youtube.com/watch?v=-UpMCDX7kyU,89,99,pushup-UpMCDX7kyU
pull ups,https://www.youtube.com/watch?v=-5FM8mMJeYc,75,85,pullups-5FM8mMJeYc
pull ups,https://www.youtube.com/watch?v=-BeQ_x-nTB8,1,11,pullups-BeQ_x-nTB8
pull ups,https://www.youtube.com/watch?v=-CvOL6yWg5Y,3,13,pullups-CvOL6yWg5Y
running on treadmill,https://www.youtube.com/watch?v=-Oa_aFrFxd4,2,12,runningontreadmill-Oa_aFrFxd4
running on treadmill,https://www.youtube.com/watch?v=0AG1T0yRt9U,90,100,runningontreadmill0AG1T0yRt9U
running on treadmill,https://www.youtube.com/watch?v=0JqDE16IfUQ,0,10,runningontreadmill0JqDE16IfUQ
stretching leg,https://www.youtube.com/watch?v=-D0Ehift5UA,44,54,stretchingleg-D0Ehift5UA
stretching leg,https://www.youtube.com/watch?v=-OQQW1UOiG4,1,11,stretchingleg-OQQW1UOiG4
stretching leg,https://www.youtube.com/watch?v=-dFmacaNjJI,214,224,stretchingleg-dFmacaNjJI
riding a bike,https://www.youtube.com/watch?v=-JS1xwedseo,0,10,ridingabike-JS1xwedseo
riding a bike,https://www.youtube.com/watch?v=-TdSou0hyEM,12,22,ridingabike-TdSou0hyEM
riding a bike,https://www.youtube.com/watch?v=-XOcfxOv27Y,82,92,ridingabike-XOcfxOv27Y
yoga,https://www.youtube.com/watch?v=-L1yIZqIZws,3098,3108,yoga-L1yIZqIZws
yoga,https://www.youtube.com/watch?v=-N4-j7MfSYE,205,215,yoga-N4-j7MfSYE
yoga,https://www.youtube.com/watch?v=-W0gshfRaYk,15,25,yoga-W0gshfRaYk
stretching arm,https://www.youtube.com/watch?v=-0S06ntmN_I,19,29,stretchingarm-0S06ntmN_I
stretching arm,https://www.youtube.com/watch?v=-3g_TFW76GI,81,91,stretchingarm-3g_TFW76GI
stretching arm,https://www.youtube.com/watch?v=-6zujL8vGGg,0,10,stretchingarm-6zujL8vGGg
punching bag,https://www.youtube.com/watch?v=-2N36vLrHbU,0,10,punchingbag-2N36vLrHbU
punching bag,https://www.youtube.com/watch?v=-H4V-AcfBnc,13,23,punchingbag-H4V-AcfBnc
punching bag,https://www.youtube.com/watch?v=-IWHOJ4_he8,0,10,punchingbag-IWHOJ4_he8
snatch weight lifting,https://www.youtube.com/watch?v=-9jeLdtcJpc,65,75,snatchweightlifting-9jeLdtcJpc
snatch weight lifting,https://www.youtube.com/watch?v=-CtlRl4JQ3A,6,16,snatchweightlifting-CtlRl4JQ3A
snatch weight lifting,https://www.youtube.com/watch?v=-FPbVnei4QI,7,17,snatchweightlifting-FPbVnei4QI
zumba,https://www.youtube.com/watch?v=-0_5tJuIrJA,4,14,zumba-0_5tJuIrJA
zumba,https://www.youtube.com/watch?v=-2JX0RWhbIU,746,756,zumba-2JX0RWhbIU
zumba,https://www.youtube.com/watch?v=-4NEbD72NGY,167,177,zumba-4NEbD72NGY
tai chi,https://www.youtube.com/watch?v=-57IRjVQhAE,194,204,taichi-57IRjVQhAE
tai chi,https://www.youtube.com/watch?v=-84sddwHIZM,276,286,taichi-84sddwHIZM
tai chi,https://www.youtube.com/watch?v=-8gBYxnmL3g,132,142,taichi-8gBYxnmL3g
deadlifting,https://www.youtube.com/watch?v=-Qc3fWKTszo,10,20,deadlifting-Qc3fWKTszo
deadlifting,https://www.youtube.com/watch?v=-QcSkIaJC-s,127,137,deadlifting-QcSkIaJC-s
deadlifting,https://www.youtube.com/watch?v=-Qcge8OnRgQ,26,36,deadlifting-Qcge8OnRgQ
situp,https://www.youtube.com/watch?v=-ORYAyk0H0k,309,319,situp-ORYAyk0H0k
situp,https://www.youtube.com/watch?v=-P-yHNnMUyo,2,12,situp-P-yHNnMUyo
situp,https://www.youtube.com/watch?v=-WnJmOsGgZs,23,33,situp-WnJmOsGgZs
